jefe_hogar,sexo,edad,migracion_venezuela,firma_contrato,trabajo_venezuela,estrato,ingreso_mensual,log_ingreso_mensual,horas_mensual
4,2,17.0,1,2.0,1.0,3,600.0,6.396929655216146,32.0
1,1,52.0,1,2.0,1.0,2,2400.0,7.783224016336037,200.0
1,2,36.0,1,2.0,1.0,3,1400.0,7.24422751560335,264.0
1,1,48.0,1,2.0,1.0,4,1000.0,6.907755278982137,288.0
11,1,26.0,1,2.0,1.0,3,1120.0,7.02108396428914,192.0
11,1,30.0,1,2.0,1.0,3,840.0,6.733401891837359,180.0
2,1,46.0,1,2.0,1.0,3,800.0,6.684611727667927,200.0
3,1,24.0,1,2.0,1.0,3,2800.0,7.937374696163295,180.0
4,1,26.0,1,2.0,1.0,3,600.0,6.396929655216146,160.0
1,2,20.0,1,2.0,1.0,2,3000.0,8.006367567650246,48.0
11,2,35.0,1,2.0,1.0,2,1200.0,7.090076835776092,192.0
4,2,24.0,1,2.0,1.0,2,1300.0,7.170119543449628,216.0
1,2,21.0,1,2.0,1.0,3,3000.0,8.006367567650246,144.0
1,2,22.0,1,1.0,2.0,1,1000.0,6.907755278982137,200.0
3,1,21.0,1,2.0,2.0,4,1500.0,7.313220387090301,48.0
1,1,55.0,1,2.0,1.0,3,1760.0,7.473069088032197,256.0
1,1,29.0,1,2.0,1.0,4,1200.0,7.090076835776092,136.0
1,2,44.0,1,2.0,1.0,1,1350.0,7.2078598714324755,240.0
1,1,31.0,1,2.0,1.0,2,850.0,6.745236349484363,216.0
1,1,19.0,1,2.0,1.0,4,720.0,6.579251212010101,240.0
2,1,22.0,1,2.0,2.0,3,2100.0,7.649692623711514,192.0
11,1,26.0,1,2.0,1.0,3,1800.0,7.495541943884256,160.0
8,2,32.0,1,1.0,1.0,4,2100.0,7.649692623711514,104.0
1,1,42.0,1,2.0,1.0,5,1120.0,7.02108396428914,200.0
8,1,21.0,1,2.0,1.0,3,600.0,6.396929655216146,176.0
1,2,29.0,1,1.0,1.0,3,900.0,6.802394763324311,192.0
1,1,33.0,1,2.0,1.0,5,1800.0,7.495541943884256,180.0
1,1,32.0,1,2.0,1.0,2,1200.0,7.090076835776092,240.0
7,2,27.0,1,1.0,1.0,4,1050.0,6.956545443151569,192.0
1,1,28.0,1,2.0,1.0,5,2400.0,7.783224016336037,336.0
11,1,21.0,1,2.0,2.0,3,1120.0,7.02108396428914,288.0
1,1,27.0,1,2.0,1.0,2,3000.0,8.006367567650246,160.0
2,1,38.0,1,2.0,1.0,4,1800.0,7.495541943884256,88.0
1,2,40.0,1,2.0,1.0,4,750.0,6.620073206530356,72.0
1,2,35.0,1,2.0,1.0,2,1148.0,7.045776576879511,192.0
7,1,24.0,1,2.0,1.0,2,1200.0,7.090076835776092,288.0
7,1,25.0,1,2.0,1.0,2,1430.0,7.265429723253953,192.0
1,1,44.0,1,2.0,1.0,3,1680.0,7.426549072397305,192.0
1,1,44.0,1,2.0,1.0,3,1200.0,7.090076835776092,240.0
4,2,25.0,1,1.0,1.0,2,2000.0,7.600902459542082,220.0
2,2,29.0,1,2.0,1.0,2,800.0,6.684611727667927,192.0
2,2,41.0,1,2.0,1.0,2,900.0,6.802394763324311,112.0
2,2,39.0,1,2.0,1.0,4,1000.0,6.907755278982137,240.0
1,1,26.0,1,2.0,1.0,3,1600.0,7.3777589082278725,240.0
1,1,33.0,1,2.0,1.0,2,1800.0,7.495541943884256,96.0
8,1,26.0,1,2.0,1.0,4,1200.0,7.090076835776092,176.0
6,1,50.0,1,2.0,2.0,5,1800.0,7.495541943884256,192.0
1,2,33.0,1,2.0,1.0,3,1400.0,7.24422751560335,288.0
1,1,42.0,1,2.0,1.0,3,900.0,6.802394763324311,180.0
2,2,27.0,1,1.0,1.0,3,15000.0,9.615805480084347,144.0
7,1,18.0,1,2.0,1.0,3,800.0,6.684611727667927,240.0
3,2,31.0,1,1.0,2.0,3,2000.0,7.600902459542082,44.0
3,2,20.0,1,1.0,2.0,3,1500.0,7.313220387090301,100.0
1,1,29.0,1,2.0,1.0,2,1200.0,7.090076835776092,192.0
3,1,23.0,1,2.0,1.0,1,1080.0,6.984716320118266,260.0
1,1,29.0,1,1.0,1.0,3,3000.0,8.006367567650246,144.0
2,2,51.0,1,2.0,1.0,5,1050.0,6.956545443151569,160.0
3,1,18.0,1,2.0,2.0,5,1440.0,7.272398392570047,240.0
2,2,32.0,1,2.0,1.0,3,1200.0,7.090076835776092,280.0
1,1,40.0,1,2.0,1.0,3,272.0,5.605802066295998,180.0
2,2,40.0,1,2.0,1.0,3,140.0,4.941642422609304,180.0
3,1,18.0,1,2.0,2.0,3,140.0,4.941642422609304,180.0
2,2,21.0,1,2.0,2.0,4,350.0,5.857933154483459,224.0
1,2,52.0,1,2.0,1.0,2,900.0,6.802394763324311,140.0
3,1,21.0,1,2.0,1.0,4,1800.0,7.495541943884256,16.0
1,2,46.0,1,2.0,1.0,2,1000.0,6.907755278982137,288.0
2,2,22.0,1,2.0,1.0,3,900.0,6.802394763324311,288.0
2,2,33.0,1,1.0,1.0,1,1000.0,6.907755278982137,200.0
2,2,41.0,1,2.0,1.0,4,750.0,6.620073206530356,96.0
1,2,23.0,1,2.0,1.0,3,2600.0,7.8632667240095735,300.0
2,2,27.0,1,2.0,1.0,2,1500.0,7.313220387090301,240.0
2,2,51.0,1,1.0,1.0,5,1600.0,7.3777589082278725,264.0
2,2,31.0,1,2.0,1.0,1,600.0,6.396929655216146,216.0
4,1,23.0,1,2.0,1.0,3,900.0,6.802394763324311,224.0
2,2,27.0,1,2.0,1.0,5,120.0,4.787491742782046,112.0
8,2,20.0,1,2.0,2.0,3,800.0,6.684611727667927,192.0
8,2,22.0,1,2.0,2.0,3,1300.0,7.170119543449628,192.0
11,1,19.0,1,2.0,1.0,5,900.0,6.802394763324311,80.0
1,2,53.0,1,2.0,1.0,4,1500.0,7.313220387090301,120.0
2,2,39.0,1,2.0,1.0,3,1060.0,6.966024187106113,216.0
1,2,58.0,1,2.0,1.0,3,1200.0,7.090076835776092,168.0
1,2,26.0,1,2.0,1.0,4,800.0,6.684611727667927,32.0
1,2,40.0,1,2.0,1.0,5,800.0,6.684611727667927,192.0
1,2,45.0,1,2.0,1.0,3,900.0,6.802394763324311,52.0
7,2,28.0,1,2.0,1.0,3,1000.0,6.907755278982137,220.0
3,2,20.0,1,2.0,2.0,4,1200.0,7.090076835776092,240.0
1,1,39.0,1,2.0,1.0,4,2480.0,7.8160138391590275,208.0
1,2,29.0,1,2.0,1.0,2,1200.0,7.090076835776092,192.0
11,1,23.0,1,2.0,1.0,2,1200.0,7.090076835776092,240.0
2,2,36.0,1,2.0,2.0,3,960.0,6.866933284461882,160.0
1,1,43.0,1,2.0,1.0,3,1120.0,7.02108396428914,160.0
2,2,44.0,1,2.0,2.0,3,1120.0,7.02108396428914,160.0
3,1,18.0,1,2.0,2.0,3,360.0,5.886104031450156,120.0
8,1,19.0,1,2.0,2.0,3,480.0,6.173786103901937,120.0
2,2,33.0,1,2.0,2.0,2,750.0,6.620073206530356,144.0
1,1,28.0,1,2.0,1.0,3,1000.0,6.907755278982137,192.0
1,2,32.0,1,1.0,1.0,1,5700.0,8.648221453822641,288.0
1,1,27.0,1,2.0,1.0,2,1320.0,7.1853870155804165,240.0
1,1,40.0,1,2.0,1.0,4,660.0,6.492239835020471,288.0
2,2,39.0,1,2.0,2.0,4,480.0,6.173786103901937,288.0
3,2,18.0,1,2.0,2.0,4,600.0,6.396929655216146,264.0
1,1,26.0,1,2.0,1.0,3,400.0,5.991464547107982,240.0
1,2,24.0,1,2.0,1.0,2,1200.0,7.090076835776092,48.0
3,2,20.0,1,2.0,2.0,2,1200.0,7.090076835776092,216.0
4,1,22.0,1,2.0,1.0,2,1680.0,7.426549072397305,192.0
7,1,25.0,1,2.0,1.0,2,1800.0,7.495541943884256,280.0
7,2,23.0,1,1.0,2.0,1,2000.0,7.600902459542082,280.0
1,1,33.0,1,2.0,1.0,2,960.0,6.866933284461882,256.0
2,2,22.0,1,2.0,2.0,2,600.0,6.396929655216146,40.0
1,2,43.0,1,2.0,1.0,3,1000.0,6.907755278982137,120.0
1,1,55.0,1,2.0,2.0,3,4810.0,8.478452363099807,160.0
1,1,28.0,1,2.0,1.0,3,1400.0,7.24422751560335,304.0
2,2,33.0,1,2.0,1.0,3,700.0,6.551080335043404,280.0
8,1,20.0,1,2.0,2.0,4,1400.0,7.24422751560335,200.0
1,2,51.0,1,2.0,1.0,3,800.0,6.684611727667927,240.0
1,2,44.0,1,2.0,1.0,1,1300.0,7.170119543449628,120.0
1,2,40.0,1,2.0,1.0,3,400.0,5.991464547107982,192.0
3,1,21.0,1,2.0,1.0,2,800.0,6.684611727667927,264.0
8,1,24.0,1,2.0,1.0,2,480.0,6.173786103901937,220.0
1,1,61.0,1,2.0,1.0,3,1200.0,7.090076835776092,192.0
3,1,25.0,1,2.0,1.0,4,800.0,6.684611727667927,200.0
2,2,49.0,1,2.0,2.0,1,360.0,5.886104031450156,64.0
2,1,48.0,1,2.0,1.0,3,1000.0,6.907755278982137,200.0
3,1,18.0,1,2.0,1.0,4,1160.0,7.05617528410041,216.0
1,1,35.0,1,2.0,1.0,3,1000.0,6.907755278982137,168.0
1,1,25.0,1,1.0,2.0,3,1400.0,7.24422751560335,252.0
1,2,25.0,1,2.0,2.0,2,1200.0,7.090076835776092,48.0
1,1,44.0,1,1.0,1.0,3,1000.0,6.907755278982137,200.0
6,1,45.0,1,2.0,1.0,2,1400.0,7.24422751560335,288.0
2,2,49.0,1,1.0,2.0,4,1472.0,7.294377299288821,192.0
2,1,51.0,1,2.0,1.0,4,2640.0,7.878534196140362,180.0
7,1,23.0,1,2.0,1.0,3,1000.0,6.907755278982137,216.0
1,2,47.0,1,1.0,1.0,2,2200.0,7.696212639346407,240.0
3,1,14.0,1,2.0,2.0,2,200.0,5.298317366548036,40.0
1,1,23.0,1,2.0,1.0,3,440.0,6.0867747269123065,240.0
7,1,20.0,1,2.0,2.0,3,240.0,5.480638923341991,192.0
1,1,26.0,1,2.0,2.0,4,1040.0,6.946975992135418,264.0
1,1,39.0,1,2.0,1.0,2,1000.0,6.907755278982137,240.0
1,2,38.0,1,2.0,1.0,5,750.0,6.620073206530356,112.0
1,2,51.0,1,2.0,1.0,3,1200.0,7.090076835776092,264.0
2,2,32.0,1,2.0,2.0,4,1200.0,7.090076835776092,288.0
1,2,50.0,1,2.0,1.0,4,1050.0,6.956545443151569,280.0
6,2,47.0,1,2.0,1.0,4,1500.0,7.313220387090301,128.0
1,1,21.0,1,2.0,1.0,4,1200.0,7.090076835776092,192.0
1,2,29.0,1,2.0,1.0,1,1500.0,7.313220387090301,180.0
1,1,28.0,1,2.0,1.0,3,520.0,6.253828811575473,288.0
1,2,54.0,1,2.0,1.0,3,600.0,6.396929655216146,140.0
4,2,24.0,1,1.0,2.0,3,1200.0,7.090076835776092,288.0
1,2,41.0,1,2.0,1.0,2,1228.0,7.113142108707088,248.0
2,2,26.0,1,2.0,1.0,2,600.0,6.396929655216146,180.0
1,1,31.0,1,2.0,1.0,2,1748.0,7.466227556215481,320.0
2,2,36.0,1,2.0,1.0,2,1200.0,7.090076835776092,392.0
1,1,44.0,1,2.0,1.0,3,1600.0,7.3777589082278725,240.0
2,2,38.0,1,2.0,1.0,3,900.0,6.802394763324311,168.0
1,1,28.0,1,2.0,1.0,3,600.0,6.396929655216146,240.0
1,1,24.0,1,2.0,2.0,1,1200.0,7.090076835776092,320.0
2,2,43.0,1,2.0,2.0,3,750.0,6.620073206530356,112.0
1,1,22.0,1,2.0,1.0,4,1440.0,7.272398392570047,288.0
2,1,46.0,1,2.0,1.0,2,960.0,6.866933284461882,168.0
1,1,33.0,1,2.0,1.0,3,800.0,6.684611727667927,320.0
11,1,21.0,1,2.0,1.0,1,500.0,6.214608098422191,224.0
1,2,24.0,1,2.0,1.0,3,1200.0,7.090076835776092,160.0
6,2,52.0,1,2.0,2.0,2,300.0,5.703782474656201,60.0
3,1,31.0,1,2.0,1.0,3,930.0,6.835184586147301,192.0
2,1,31.0,1,1.0,1.0,2,1800.0,7.495541943884256,272.0
11,1,22.0,1,2.0,1.0,4,1200.0,7.090076835776092,216.0
2,2,33.0,1,1.0,1.0,2,930.0,6.835184586147301,216.0
1,1,26.0,1,2.0,1.0,2,1400.0,7.24422751560335,252.0
2,2,37.0,1,2.0,1.0,4,560.0,6.327936783729195,200.0
3,1,20.0,1,1.0,2.0,3,289.0,5.666426688112432,200.0
3,2,25.0,1,2.0,1.0,3,800.0,6.684611727667927,296.0
1,1,33.0,1,2.0,1.0,4,1350.0,7.2078598714324755,420.0
3,1,21.0,1,2.0,2.0,4,3000.0,8.006367567650246,240.0
1,2,40.0,1,2.0,1.0,3,1280.0,7.154615356913663,240.0
1,1,23.0,1,2.0,1.0,5,1600.0,7.3777589082278725,288.0
3,1,18.0,1,2.0,2.0,5,800.0,6.684611727667927,220.0
3,2,32.0,1,1.0,1.0,2,417.0,6.0330862217988015,216.0
1,1,34.0,1,2.0,1.0,3,2000.0,7.600902459542082,208.0
1,1,34.0,1,1.0,1.0,3,1500.0,7.313220387090301,200.0
1,1,28.0,1,2.0,1.0,3,1200.0,7.090076835776092,160.0
1,1,27.0,1,2.0,1.0,3,1400.0,7.24422751560335,240.0
6,2,36.0,1,2.0,2.0,3,1200.0,7.090076835776092,140.0
1,1,25.0,1,2.0,1.0,2,720.0,6.579251212010101,192.0
1,1,29.0,1,2.0,1.0,2,960.0,6.866933284461882,288.0
2,1,36.0,1,1.0,1.0,3,1400.0,7.24422751560335,252.0
7,1,39.0,1,1.0,1.0,3,1200.0,7.090076835776092,288.0
8,1,44.0,1,2.0,1.0,3,1100.0,7.003065458786462,240.0
7,1,25.0,1,2.0,1.0,4,850.0,6.745236349484363,224.0
1,1,42.0,1,2.0,1.0,2,750.0,6.620073206530356,48.0
1,2,21.0,1,2.0,2.0,3,900.0,6.802394763324311,100.0
1,1,32.0,1,2.0,1.0,2,930.0,6.835184586147301,120.0
1,1,32.0,1,2.0,1.0,4,3000.0,8.006367567650246,240.0
6,1,48.0,1,1.0,2.0,4,1400.0,7.24422751560335,256.0
8,2,18.0,1,2.0,2.0,4,840.0,6.733401891837359,96.0
1,1,22.0,1,2.0,2.0,4,1600.0,7.3777589082278725,240.0
1,2,33.0,1,2.0,1.0,2,400.0,5.991464547107982,72.0
1,1,26.0,1,2.0,1.0,3,2000.0,7.600902459542082,216.0
1,1,35.0,1,2.0,1.0,4,520.0,6.253828811575473,144.0
1,2,23.0,1,2.0,2.0,3,720.0,6.579251212010101,336.0
1,1,24.0,1,2.0,1.0,2,480.0,6.173786103901937,192.0
1,1,54.0,1,1.0,1.0,2,2300.0,7.7406644019172415,180.0
1,2,23.0,1,2.0,1.0,2,1000.0,6.907755278982137,192.0
2,1,19.0,1,2.0,2.0,2,760.0,6.633318433280377,288.0
1,1,58.0,1,2.0,2.0,2,280.0,5.634789603169249,192.0
1,1,26.0,1,2.0,2.0,3,1280.0,7.154615356913663,200.0
2,1,25.0,1,2.0,1.0,2,1600.0,7.3777589082278725,192.0
1,2,33.0,1,2.0,1.0,4,1290.0,7.162397497355718,96.0
3,2,20.0,1,2.0,2.0,3,640.0,6.461468176353717,200.0
1,1,22.0,1,2.0,1.0,3,1800.0,7.495541943884256,240.0
1,1,30.0,1,2.0,1.0,3,1600.0,7.3777589082278725,264.0
8,2,20.0,1,2.0,2.0,3,432.0,6.068425588244111,224.0
1,1,23.0,1,2.0,2.0,2,1600.0,7.3777589082278725,280.0
7,2,22.0,1,2.0,1.0,2,750.0,6.620073206530356,144.0
8,1,46.0,1,2.0,2.0,2,1500.0,7.313220387090301,216.0
8,1,51.0,1,2.0,2.0,2,1500.0,7.313220387090301,216.0
2,1,22.0,1,2.0,1.0,3,1440.0,7.272398392570047,208.0
1,1,27.0,1,1.0,1.0,3,2880.0,7.965545573129992,360.0
2,1,28.0,1,1.0,1.0,3,3200.0,8.070906088787819,204.0
1,1,24.0,1,2.0,1.0,3,1440.0,7.272398392570047,192.0
2,2,41.0,1,2.0,1.0,2,1800.0,7.495541943884256,8.0
6,2,53.0,1,2.0,1.0,1,600.0,6.396929655216146,40.0
3,1,18.0,1,2.0,2.0,3,1800.0,7.495541943884256,40.0
1,2,33.0,1,1.0,1.0,2,800.0,6.684611727667927,172.0
8,1,24.0,1,2.0,2.0,2,1200.0,7.090076835776092,192.0
11,1,40.0,1,2.0,1.0,3,2000.0,7.600902459542082,160.0
2,1,30.0,1,2.0,1.0,1,1920.0,7.560080465021827,360.0
2,2,41.0,1,1.0,1.0,1,900.0,6.802394763324311,180.0
1,1,30.0,1,1.0,1.0,2,1900.0,7.549609165154532,192.0
1,1,55.0,1,2.0,1.0,3,1800.0,7.495541943884256,432.0
2,2,44.0,1,2.0,1.0,3,3000.0,8.006367567650246,240.0
3,1,17.0,1,2.0,2.0,3,600.0,6.396929655216146,188.0
6,2,51.0,1,2.0,2.0,3,720.0,6.579251212010101,192.0
